"incident_datetime","incident_date","incident_time","incident_year","incident_day_of_week","report_datetime","row_id","incident_id","incident_number","cad_number","report_type_code","report_type_description","filed_online","incident_code","incident_category","incident_subcategory","incident_description","resolution","intersection","cnn","police_district","analysis_neighborhood","supervisor_district","supervisor_district_2012","latitude","longitude","point"
"2024-02-19T18:06:00.000","2024-02-19T00:00:00.000","18:06","2024","Monday","2024-02-19T18:06:00.000","136605165015","1366051","240110948","240502454","II","Initial",,"65015","Other Miscellaneous","Other","Driving, No License Issued","Cite or Arrest Adult","MINNA ST \ 10TH ST","24413000","Southern","South of Market","6","6","37.774845123291016","-122.41537475585938","POINT (-122.41537475585938 37.774845123291016)"
"2024-02-19T18:00:00.000","2024-02-19T00:00:00.000","18:00","2024","Monday","2024-02-19T20:24:00.000","136604806363","1366048","240111231","240502374","II","Initial",,"06363","Larceny Theft","Larceny Theft - Shoplifting","Theft, Shoplifting, $200-$950","Cite or Arrest Adult","04TH ST \ MINNA ST","24631000","Southern","Financial District/South Beach","6","6","37.7840461730957","-122.4037094116211","POINT (-122.4037094116211 37.7840461730957)"
"2024-02-19T18:00:00.000","2024-02-19T00:00:00.000","18:00","2024","Monday","2024-02-19T20:24:00.000","136604862050","1366048","240111231","240502374","II","Initial",,"62050","Warrant","Warrant","Warrant Arrest, Enroute To Outside Jurisdiction","Cite or Arrest Adult","04TH ST \ MINNA ST","24631000","Southern","Financial District/South Beach","6","6","37.7840461730957","-122.4037094116211","POINT (-122.4037094116211 37.7840461730957)"
"2024-02-19T17:55:00.000","2024-02-19T00:00:00.000","17:55","2024","Monday","2024-02-19T18:00:00.000","136601204011","1366012","240110976","240502431","II","Initial",,"04011","Assault","Aggravated Assault","Assault, Aggravated, W/ Gun","Open or Active","CHARTER OAK AVE \ SILVER AVE","20765000","Bayview","Bayview Hunters Point","10","10","37.7331428527832","-122.40434265136719","POINT (-122.40434265136719 37.7331428527832)"
"2024-02-19T17:55:00.000","2024-02-19T00:00:00.000","17:55","2024","Monday","2024-02-19T17:55:00.000","136601807041","1366018","240109571","240502417","VS","Vehicle Supplement",,"07041","Recovered Vehicle","Recovered Vehicle","Vehicle, Recovered, Auto","Open or Active","STANYAN ST \ CARL ST","26303000","Park","Inner Sunset","8","5","37.76544189453125","-122.4527587890625","POINT (-122.4527587890625 37.76544189453125)"
"2024-02-19T17:55:00.000","2024-02-19T00:00:00.000","17:55","2024","Monday","2024-02-19T18:00:00.000","136601206154","1366012","240110976","240502431","II","Initial",,"06154","Larceny Theft","Larceny Theft - Other","Theft, From Person, >$950 (other than Pickpocket)","Open or Active","CHARTER OAK AVE \ SILVER AVE","20765000","Bayview","Bayview Hunters Point","10","10","37.7331428527832","-122.40434265136719","POINT (-122.40434265136719 37.7331428527832)"
"2024-02-19T17:46:00.000","2024-02-19T00:00:00.000","17:46","2024","Monday","2024-02-19T17:46:00.000","136600107041","1366001","240108943",,"VS","Vehicle Supplement",,"07041","Recovered Vehicle","Recovered Vehicle","Vehicle, Recovered, Auto","Open or Active",,,"Out of SF",,,,,,
"2024-02-19T17:32:00.000","2024-02-19T00:00:00.000","17:32","2024","Monday","2024-02-19T17:32:00.000","136600968020","1366009","240104010","240502353","IS","Initial Supplement",,"68020","Miscellaneous Investigation","Miscellaneous Investigation","Miscellaneous Investigation","Cite or Arrest Adult","OCEAN AVE \ BRIGHTON AVE","22222000","Taraval","West of Twin Peaks","11","7","37.723670959472656","-122.45513916015625","POINT (-122.45513916015625 37.723670959472656)"
"2024-02-19T17:30:00.000","2024-02-19T00:00:00.000","17:30","2024","Monday","2024-02-19T17:30:00.000","136599207045","1365992","240020535","240502330","VS","Vehicle Supplement",,"07045","Recovered Vehicle","Recovered Vehicle","Vehicle, Recovered, Truck","Open or Active","LA SALLE AVE \ EARL ST","33129000","Bayview","Bayview Hunters Point","10","10","37.728004455566406","-122.37376403808594","POINT (-122.37376403808594 37.728004455566406)"
"2024-02-19T17:10:00.000","2024-02-19T00:00:00.000","17:10","2024","Monday","2024-02-19T20:41:00.000","136602507021","1366025","240111297","240502872","VI","Vehicle Initial",,"07021","Motor Vehicle Theft","Motor Vehicle Theft","Vehicle, Stolen, Auto","Open or Active","FILBERT ST \ LAGUNA ST","26584000","Northern","Marina","2","2","37.798648834228516","-122.43074798583984","POINT (-122.43074798583984 37.798648834228516)"
